Job Title,Job CompanyName,Job Location,Job Descriptions,
Alternance Business Developper Software - Paris (F/H),ISCOD,75015 Paris,Le pilotage des canaux de prospection (Linkedin  Mail  Coldcall  Evénements). De faire le suivi des leads après transfert aux commerciaux dans le CRM.
Designer et développeur mobilier & luminaire H/F,NV GALLERY,Télétravail hybride à 75001 Paris 1er,Fondé en 2016  NV GALLERY bouscule les codes de l’ameublement en ligne avec ses collections tendances et accessibles. Vous êtes diplômé d'une école de Design.
Développeur Full Stack H/F,MédiFirst,Télétravail hybride à 78180 Montigny-le-Bretonneux,Nous sommes une société à taille humaine de 27 personnes  qui édite des logiciels web dans les domaines de la PMA (MédiFirst-AMP) et la génétique (MédiFirst…
Développeur C/C++ - POEI,DataScientest,Paris (75),L’analyse et la conceptualisation des besoins de ses clients ; La rédaction des cahiers de charges conformément aux demandes du client (budget  besoins …
Développeur Front Office .net/Angular- H/F/X,Société Générale,La Défense (92),Travailler en équipe (pair programming  développement agile  Devops). Rechercher la technologie la plus adaptée pour garantir la sécurité  la scalabilité des…
Développeur Front React.JS - H/F,CANAL+ Group,92800 Puteaux,Développeur Frontend  Frontend Developer / CDI / Environ 65k€ / 3 - 6 ans / Puteaux. Déploiement des interfaces CANAL+ à l'international notamment en Pologne …
Développeur Stagiaire en React et Next.js H/F,YUPULSE,Paris (75),Collaborer étroitement avec l'équipe technique et produit pour définir et implémenter des fonctionnalités innovantes et durables.
Développeur Front End Astro/Svelte - H/F,E.Leclerc,94200 Ivry-sur-Seine,LECLERC est un groupement coopératif dont les adhérents sont les propriétaires de magasins  soit 592 entrepreneurs  dont Michel-Edouard Leclerc est le porte…
SPECIALISTE SUPPORT TECHNIQUE / DEVELOPPEUR IAM CONFIRME - H/F,BNP Paribas,Nanterre (92),Authentifier fortement les utilisateurs pour accéder à une application ou pour effectuer une transaction précise. Vous avez un niveau intermédiaire d’anglais.
Développeur - Concepteur F/H - Paris 13ème,3F,75013 Paris,Vous rejoignez une équipe Etudes composée de 10 personnes  au sein du Service Etudes et Développements (24 personnes). Développement PHP 7  Javascript  CSS.
Designer et développeur mobilier & luminaire H/F,NV GALLERY,Télétravail hybride à 75001 Paris 1er,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Développeur ou Développeuse Python React,One Logic Consulting Group,Paris (75),La passion des technologies  en s’appuyant sur les meilleures pratiques en cours et à travers les technologies les plus récentes.
Développeur fullstack (H/F),Capgemini,Paris (75),Être Développeur Fullstack c’est être passionné pour développer des applications serverless à base de Microservices  des Front-End de type SPA (angular  react …
Développeur Web – CDI – H/F,Unicancer,Le Kremlin-Bicêtre (94),Assurer le support aux utilisateurs. Définir et implanter des solutions techniques en programmant des lignes de code. Bac +2 à 5 développement informatique.
Développeur JAVA Junior – H/F,Up Sourcing,Paris (75),Mettre en place des solutions techniques d’acquisition de nouveaux clients. Une première expérience réussie en développement Java.
Développeur Front ReactJS,Beyowi,75013 Paris,Intégrer des pages Web en HTML et CSS. Développer en Javascript avec le framework ReactJS. Faire du développement piloter avec des tests (TDD).
Développeur React JS,Kéoni Consulting,Paris (75),A l’évolution de la plateforme web (site web  site mobile  back Office et api) : ajout de fonctionnalités  développement  documentation.
Développeur Angular F/H,3KLES Consulting,Télétravail hybride à 75009 Paris 9e,Les compétences recommandées sont NodeJs  Rest  NoSQL (MongoDB)  Docker. Vos missions seront riches et pointues techniquement.
Développeuse ou développeur PHP de logiciels libres,24ème,Paris (75),Le 24ème recherche une développeuse ou un développeur web PHP qui pourra s’intégrer dans son équipe de développement comme dans la vie de l’entreprise.
Développeur / Développeuse full-stack,Pôle Emploi,Paris (75),Nous recherchons deux profils  développeur (euse) Full Stack React pour intervenir chez l'un de nos clients. Techno et méthodologie : Javan React.
CDI - Développeur React H/F,Aprime,Paris (75),React n'a plus de secret pour vous et vous souhaitez intervenir au sein d'une équipe dynamique et solidaire pour partager votre expertise.
Administrateur Système DevOps - POEI,DataScientest,France,En tant qu'administrateur Système DevOps  vous serez un véritable expert pour nos plus grandes entreprises partenaires ! * Vous êtes inscrit(e) à Pôle Emploi.
Développeur(-euse) Fullstack Node.js/React | Medtech | H/F,Urban Linker,Paris (75),Mettre en place des API et gérer les requêtes pour assurer une interconnexion fluide avec les clients. Agir en tant que point de contact technique  notamment…
Développeur Typescript / Node.js / AWS / Microservice Full remote H/F,VeoNum,Télétravail à Paris (75),Pour réussir dans ce poste  vous devrez également avoir une maîtrise solide du développement node.js  typescript  AWS.
Développeur React H/F,Up Sourcing,Paris (75),Développer un produit complet et scalable. Challenger sans cesse la plateforme avec l’équipe produit. Code-Review le reste de l’équipe technique.
Développeur-Concepteur H/F,ACTION LOGEMENT,75013 Paris,Vous rejoignez une équipe Etudes composée de 10 personnes  au sein du Service Etudes et Développements (24 personnes). Profil requis : Développeur PHP et SQL.
STAGE - Développeur.euse Front React/JS (F/H/X),Canal Plus,Puteaux (92),Daily meeting  sprint planning  POC  code review  open source… tel est notre quotidien. Votre rôle et vos missions.
Stage – Développeur React (H/F),Smile  Open Source Solutions,Paris (75),React / Node.js / microservices  / Javascript / HTML / CSS.
Développeur web (H/F),VP&White,Paris (75),Situé à Boulogne-Billancourt  Lyon  Londres  Munich et Chicago  VPWhite est un éditeur et intégrateur de solutions dans les domaines de la RSE  QHSE  Gestion…
